,Company,Job
0,Kioski Technology,Digital Marketing Executive
1,The Trading Fox,Crypto Trade Expert
2,PlanetSpark,Account Executive
3,Skil Travel Private Limited,Event Management Manager
4,The Trading Fox,Business Development Associate
5,Vave Entertainment (LoudSound Studios LLP),Music Producer & Mixing Engineer
6,APlus Enterprises Private Limited,Marketing Executive
7,Debon,Accountant
8,Sree Nandhees Technologies Private Limited,Electrical Engineer
9,Superclass,Corporate Sales Executive
10,Pune Medical Coding Training Institute,Pharmacovigilance
11,Pune Medical Coding Training Institute,Medical Coder
12,Dynamic Tech Innovations,Back Office CO-Ordinator
13,WeMakeScholars,Junior Loan Officer
14,Visible Gain,Product Stylist
15,Extension Technologies Private Limited,Accounting ERP Implementation Specialist
16,Disha Dye Chem Private Limited,Administration Trainee
17,Fusion Beauty,HR Recruiter
18,Dynamic Tech Innovations,Computer Operator
19,Dynamic Tech Innovations,Back-End Management Executive
20,WaySpire EdTech Private Limited,Corporate Sales Executive
21,WaySpire EdTech Private Limited,Growth Executive
22,WaySpire EdTech Private Limited,Business Development Associate
23,Truelan Textiles Private Limited,E-commerce Executive
24,Dynamic Tech Innovations,Backend Operating Executive
25,Wehire Talent Solutions,Customer Service Executive
26,JVTI,In-House Auditor & Quality Management System (QMS) Manager
27,Wayspire Ed-Tech Private Limited,Edtech Sales Specialist
28,Tripple One Solutions,Business Development Associate
29,Taxila Technologies Private Limited,Electronics Engineer
30,QuadB Tech,Digital Marketing Executive
31,The Medicity,Academic Counselor
32,Cosmos Staffing Solutions,Telecaller
33,QuadB Tech,Business Development Executive
34,Green Pista Labs LLP,Customer Relationship Executive
35,Dynamic Tech Innovations,Office Assistant (Computer Operations)
36,Rentickle,Full Stack Developer
37,JVTI,Senior Academic Counsellor
38,DevTown,Business Development Executive
39,WeMakeScholars,Financial Sales Officer
40,ClearQuote,Human Resources (HR) Associate
41,AntWalk,Sales Trainer
42,Bluntly Streaming,Social Media Specialist
43,UniAcco,Sales Executive
44,UniAcco,Sales Executive
45,Klicksurge,Content Writer
46,Global BFSI Learning,Junior Graphic Designer
47,Percoyo Private Limited,PPC Executice(Google Ads)
48,Galanto Innovations Private Limited,Corporate Sales Specialist
49,Coding Junior,Corporate Sales Executive
